id,media_item_id,role,person_name
170,85,Producer,Salvo D'Angelo
171,86,Actor,Anna Magnani
172,86,Actor,Aldo Fabrizi
173,87,Writer,Umberto Eco
174,87,Composer,Ennio Morricone
175,88,Director,Michelangelo Antonioni
176,88,Producer,Carlo Ponti
177,89,Actor,Monica Vitti
178,89,Actor,Alain Delon
179,90,Writer,Giuseppe Tomasi di Lampedusa
180,90,Composer,Giovanni Fusco
181,91,Director,Luchino Visconti
182,91,Producer,Goffredo Lombardo
183,92,Actor,Burt Lancaster
184,92,Actor,Claudia Cardinale
185,93,Writer,Primo Levi
186,93,Composer,Franco Mannino
187,94,Director,Pier Paolo Pasolini
188,94,Producer,Alfredo Bini
189,95,Actor,Franco Citti
190,95,Actor,Silvana Mangano
191,96,Writer,Alberto Moravia
192,96,Composer,Carlo Rustichelli
193,97,Director,Sergio Leone
194,97,Producer,Claudio Mancini
195,98,Actor,Clint Eastwood
196,98,Actor,Lee Van Cleef
197,99,Writer,Giovanni Verga
198,99,Composer,Ennio Morricone
199,100,Director,Franco Zeffirelli
200,100,Producer,John Brabourne
